	Catalog pp# (volume#pages)	Wright’s Numeration DECODER	Wright’s Numeration XML	Lookup Decoder in XML	REDO		Catalog pp# (volume#pages)	Wright’s Numeration	Lookup Decoder in XML take 2	Lookup Decoder in Decoder	Arabic Numeration	Corrected Arabic Numeration	Wright’s Dating	"URI
[Next ID 1450]"				Who is primary?	State of coding	Edited by whom and when:	Editing questions and comments
Add. 12,172, foll. 1-11	2#465	DLXXX	XLVII	DLXXX		Add. 17,217, fol. 45	3#1101	DCCCCXLVII	DCCCCXLVII	#N/A	#N/A	947	Approx. 7c-8c	940				Daniel	Framework established for a later stage		
Add. 17,201, foll. 26-32	2#465	DLXXXI	CXXXVIII	DLXXXI		Add. 14,651	3#1101-1103	DCCCCXLVIII	DCCCCXLVIII	#N/A	#N/A	948	850	419							
Add. 14,558	2#466-467	DLXXXIII	CCCXVIII	DLXXXIII		Add. 17,216, foll. 2-14	3#1041	DCCCCXV	#N/A	DCCCCXV	#N/A	915	Approx. 8c-9c	913				Peter	Drafted		
Add. 14,560	2#467	DLXXXIV	CCCXX	DLXXXIV		Add. 14,642	3#1041-1042	DCCCCXVI	#N/A	#N/A	#N/A	916	Approx. 10c	406							
Add. 14,563	2#471	DLXXXIX	CCCXXIII	DLXXXIX		Add. 17,142	3#1042	DCCCCXVII	#N/A	DCCCCXVII	#N/A	917	Approx. 6c	771				Stephanie	Drafted		
Add. 14,559	2#468-269	DLXXXV	CCCXIX	DLXXXV		Add. 14,641	3#1042-1046	DCCCCXVIII	#N/A	DCCCCXVIII	#N/A	918	Approx. 6c	405				Peter	Drafted		
Add. 14,561	2#469	DLXXXVI	CCCXXI	DLXXXVI		Add. 14,640	3#1061-1062	DCCCCXX	#N/A	DCCCCXX	#N/A	920	Approx. 7c	404				Stephanie	Drafted and edited	Jessie, 06/03/20	Syriac needed
Add. 12,161	2#469-470	DLXXXVII	XXVIII	DLXXXVII		Add. 14,685	3#1062-1064	DCCCCXXI	#N/A	DCCCCXXI	#N/A	921	Approx. 10c-11c	543				Stephanie	Drafted		
Add. 14,562	2#470-471	DLXXXVIII	CCCXXII	DLXXXVIII		Add. 25,875	3#1064-1069	DCCCCXXII	#N/A	#N/A	#N/A	922	1709-10	1144							
Add. 14,664, foll. 18, 19, 30-33	1#389	DVI	CCCXCVIII	DVI		Add. 12,173	3#1070-1072	DCCCCXXIII	#N/A	DCCCCXXIII	923	923	Approx. 6c-7c	69				Jessie	Drafted and edited	Lindsay, 03/20/2020	Edited but still needs Greek typed in - missing from word document
Add. 14,664, foll. 18, 19, 30-32	1#389	DVI	DCXII	DVI		Add. 17,176	3#1072-1073	DCCCCXXIV	#N/A	DCCCCXXIV	#N/A	924	532	828				Jessie	Drafted and edited	Lindsay 5/19/2020	
Add. 14,736, foll. 49-52	1#390	DX	CCCCXCIX	DX		Add. 14,583	3#1076-1078	DCCCCXXIX	#N/A	#N/A	#N/A	929	Approx. 11c	319							
Add. 12,160, foll. 1-108	2#472-473	DXC	XXVI	DXC		Add. 17,177	3#1073-1074	DCCCCXXV	#N/A	DCCCCXXV	#N/A	925	Approx. 6c	829				Jessie	Drafted and edited	Anna 5/2/20	
Add. 14,564	2#473-474	DXCI	cccxxiv	DXCI		Add. 14,676, foll. 43-86	3#1074	DCCCCXXVI	#N/A	DCCCCXXVI	926	926	Approx. 13c	532				Peter	Drafted		
Add. 12,180	2#474-475	DXCII	LVIII	DXCII		Add. 17,215, foll. 46, 47	3#1074	DCCCCXXVII	#N/A	DCCCCXXVII	#N/A	927	Approx. 8c	907				Peter	Drafted		
Add. 14,565	2#475-476	DXCIII	CCCXXV	DXCIII		Add. 17,174	3#1074-1076	DCCCCXXVIII	#N/A	DCCCCXXVIII	#N/A	928	929	826				Jessie	Drafted and edited	Lindsay 5/19/2020	"How do we encode footnotes in the additions section if a name/place has a footnote attached to it? Also, how to encode something that Wright calls a ""colophon""?"
Add. 14,566, foll. 1-28	2#476	DXCIV	cccxxvII	DXCIV		Add. 17,264	3#1078-1079	DCCCCXXX	#N/A	DCCCCXXX	#N/A	930	Approx. 13c	1080				Jessie	Drafted and edited	Lindsay 5/30/20	"There are blanks in the Syriac in part three that need to be formatted. Should we just leave huge blank spaces or insert the word ""space""?"
Add. 14,670, fol. 1	2#48	DXCIX	CCCCXXX	DXCIX		Add. 17,263	3#1079-1080	DCCCCXXXI	#N/A	DCCCCXXXI	#N/A	931	Approx. 13c	1079				Jessie	Drafted and edited	Lindsay 5/30/20	URIs on names need verfied that it is that person
Add. 14,566, foll. 29-112	2#476-477	DXCV	cccxxviii	DXCV		Add. 17,175	3#1080	DCCCCXXXII	#N/A	DCCCCXXXII	#N/A	932	Approx. 10c	827				Jessie	Drafted and edited	Anna 5/2/20	
Add. 17,152	2#477-478	DXCVI	LXXXIII	DXCVI		Add. 14,631, foll. 17-44	3#108	DCCCCXXXIII	#N/A	#N/A	#N/A	933	Approx. 9c-10c	380							
Add. 14,567	2#478-479	DXCVII	cccxxix	DXCVII		Add. 17,204	3#1081	DCCCCXXXIV	#N/A	DCCCCXXXIV	#N/A	934	Approx. 5c	866				James	drafted		
(Add. 17,212)	2#479-480	DXCVIII	CXLV	DXCVIII		Add. 14,646, foll. 134-194, upper text	3#1087	DCCCCXXXIX	DCCCCXXXIX	DCCCCXXXIX	#N/A	939	Approx. 6c	412				Peter	Drafted		
Add. 17,212, upper text 2	2#479-480	DXCVIII	DCLXX	DXCVIII		Add 14,646, foll. 183-194, lower text	3#1087	DCCCCXXXIX	DCCCCXXXIX	DCCCCXXXIX	939	939		1401				Peter	Drafted		
Add. 17,212, upper text 1	2#479-480	DXCVIII	DCLXXI	DXCVIII		Add. 14,654	3#1081-1083	DCCCCXXXV	#N/A	DCCCCXXXV	#N/A	935	Approx. 5c-6c	422				James	Drafted		
Add. 17,212, lower text	2#479-480	DXCVIII	DCLXXII	DXCVIII		Add. 14,644	3#1083-1086	DCCCCXXXVI	DCCCCXXXVI	#N/A	#N/A	936	Approx. 5c-6c	408							
Add. 14,736, fol. 60	1#391	DXII	DIV	DXII		Add. 14,646, foll. 1-133	3#1086-1087	DCCCCXXXVII	DCCCCXXXVII	DCCCCXXXVII	#N/A	937	Approx. 6c	411				Peter	Drafted		
Add. 14,736, fol. 48	1#396	DXIX	CCCCCXCVIII	DXIX		Add. 17,205	3#1087	DCCCCXXXVIII	DCCCCXXXVIII	DCCCCXXXVIII	#N/A	938	Approx. 6c	867				Jessie	Drafted and edited	Lindsay 5/30/20	Needs Coptic added in the last addition
Add. 14,573	2#413-414	DXL	cccxxxv	DXL		Add. 18,817, foll. 1-136	2#803-806	DCCCI	DCCCI	DCCCI	801	801	Approx. 9c	1413				Peter	Drafted		
Add. 14,635, foll. 16-18	2#414	DXLI	CCCLXXXIII	DXLI		Add. 18,817, foll. 137-154, upper text	2#803-806	DCCCI	DCCCI	DCCCI	801	801	Approx. 12c	1414				Peter	Drafted		
Add. 14,627	2#415	DXLII	CCCLXVIII	DXLII		Add. 18,817, foll. 137-154, upper text	2#803-806	DCCCI	DCCCI	DCCCI	801	801	Approx. 9c	1449				Will Potter	Drafted	msParts, edit with full ms	c.f 1125
Add. 17,218, fol. 43	2#415	DXLIII	DCCCLXIX	DXLIII		Add. 17,218, foll. 70-83	2#806	DCCCII	DCCCII	#N/A	802	802	Approx. 9c	972				Tucker	Framework established for a later stage		
Add. 17,158, fol. 57	2#416	DXLIV	LXXXVIII	DXLIV		Add. 14,588	2#806-807	DCCCIII	DCCCIII	DCCCIII	803	803	Approx. 9c-10c	324				James	Drafted		
Add. 14,635, foll. 19, 20	2#419	DXLIX	CCCLXXXIV	DXLIX		Add. 14,653	2#807-809	DCCCIV	DCCCIV	#N/A	804	804	Approx. 9c-10c	421							
Add. 14,736, foll. 4-9	2#416	DXLV	CCCCXC	DXLV		Add. 17,217, foll. 57, 58	2#818	DCCCIX	#N/A	DCCCIX	809	809	Approx. 10c	950				Daniel	Drafted		
Add. 17,143	2#416	DXLVI	LXXIV	DXLVI		Orient. 1017	2#890-901	DCCCL	DCCCL	#N/A	850	850	1364	1156							
Add. 14,542	2#416-418	DXLVII	CCCII	DXLVII		Add. 18,716	2#901-903	DCCCLI	DCCCLI	#N/A	851	851	Approx. 15c-16c	1117							
Add. 17,145	2#418-419	DXLVIII	LXXVI	DXLVIII		Add. 12,168	2#904-908	DCCCLII	DCCCLII	#N/A	852	852	Approx. 8c-9c	50							Catenae
Add. 14,502	1#394-395	DXV	CCLVII	DXV		Add. 12,144	2#908-914	DCCCLIII	DCCCLIII	#N/A	853	853	1081	19							
Add. 17,260	1#397-398	DXXI	DXXXVIII	DXXI		Add. 17,195	2#914-915	DCCCLIV	DCCCLIV	#N/A	854	854	Approx. 10c	851							
Add. 17,182, foll. 1-99	2#403-404	DXXIX	CXVII	DXXIX		Add. 14,533	2#967-976	DCCCLIX	DCCCLIX	#N/A	859	859	Approx. 8c-9c	260							
Add. 17,213, foll. 4,5	2#401	DXXVII	cxlix	fixed		Add. 17,214	2#915-917	DCCCLV	DCCCLV	#N/A	855	855	Approx. 7c	894							
Add. 14,619	2#401-403	DXXVIII	CCCLXV	fixed		Add. 14,529	2#917-921	DCCCLVI	DCCCLVI	#N/A	856	856	Approx. 7c-8c	256							Catenae
Add. 17,182, foll. 100-174	2#404-405	DXXX	CXVIII	DXXX		Add. 12,155	2#921-955	DCCCLVII	DCCCLVII	#N/A	857	857	Approx. 8c	30							Catenae
Add. 17,182, foll. 175	2#405	DXXX	DCX	DXXX		Add. 14,532	2#955-967	DCCCLVIII	DCCCLVIII	#N/A	858	858	Approx. 8c	259							
Add. 14,568	2#405-406	DXXXI	cccxxx	DXXXI		Add. 12,154	2#976-989	DCCCLX	DCCCLX	#N/A	860	860	Approx. 8c (late)- 9c (early)	29							Catenae
Add. 14,569	2#406	DXXXII	cccxxxi	DXXXII		Add. 17,193	2#989-1002	DCCCLXI	DCCCLXI	#N/A	861	861	874	849							
Add. 14,570	2#406-407	DXXXIII	cccxxxii	DXXXIII		Add. 17,194	2#1002-1003	DCCCLXII	DCCCLXII	#N/A	862	862	886	850							
Add. 17,189, foll. 1-16	2#407	DXXXIV	CXXV	DXXXIV		Add. 14,538	2#1003-1008	DCCCLXIII	DCCCLXIII	#N/A	863	863	Approx. 10c	265							
Add. 14,571	2#410-413	DXXXIX	cccxxxiii	DXXXIX		Add. 17,191	2#1008-1015	DCCCLXIV	DCCCLXIV	#N/A	864	864	Approx. 9c-10c	847							
Add. 14,574, foll. 1-19	2#407-408	DXXXV	cccxxxvii	DXXXV		Add. 17,160, foll. 24-26	2#1018	DCCCLXIX	DCCCLXIX	DCCCLXIX	869	869	Approx. 8c	800				Justin	Drafted		
Add. 14,574, foll. 20-33	2#408-409	DXXXVI	cccxxxviii	DXXXVI		Add. 17,189, foll. 17-21	2#1016	DCCCLXV	DCCCLXV	DCCCLXV	865	865	Approx. 6c	845				Justin	Drafted		
Add. 12,176	2#409-410	DXXXVII	LV	DXXXVII		Add. 17,215, foll. 30-33	2#1016	DCCCLXVI	DCCCLXVI	DCCCLXVI	866	866	Approx. 7c-8c	903				Peter	Drafted		
Add. 14,572	2#41	DXXXVIII	cccxxxiV	DXXXVIII		Add. 17,218, foll. 87, 88	2#1016-1017	DCCCLXVII	DCCCLXVII	#N/A	867	867	Approx. 7c-8c	975				Tucker	Framework established for a later stage		
Egerton 704	1#1-3	I	DLXXXIII	I		Add. 14,537	2#1017-1018	DCCCLXVIII	DCCCLXVIII	DCCCLXVIII	868	868	Approx. 7c-8c	264				Peter	Drafted		
Add. 14,671	1#3	II	CCCCXLIII	II		Add. 17,163, foll. 49-53	2#1018	DCCCLXX	DCCCLXX	DCCCLXX	870	870	Approx. 9c	810				Peter	Drafted		
Add. 14,425	1#3-5	III	LX	III		Add. 17,218, foll. 85, 86	2#1018	DCCCLXXI	DCCCLXXI	#N/A	871	871	Approx. 9c	974				Tucker	Framework established for a later stage		
Add. 14,427	1#5-6	IV	LXII	IV		Add. 17,215, foll. 1-4	2#1018-1019	DCCCLXXII	DCCCLXXII	DCCCLXXII	872	872	Approx. 9c-10c	896				Peter	Drafted		
Add. 12,133, foll. 1-108	1#7-8	IX	II	IX		Add. 14,636, foll. 57-76	2#1019	DCCCLXXIII	DCCCLXXIII	#N/A	873	873	Approx. 10c	397							
Add. 14,437, foll. 1-46	1#31	L	CLXX	L		Add. 14,636, foll. 77-82	2#1020	DCCCLXXIV	DCCCLXXIV	#N/A	874	874	Approx. 10c	398							
Add. 12,133, foll. 109-169	1#31-32	LI	III	LI		Add. 17,272, foll. 68-74	2#1022-1023	DCCCLXXIX	DCCCLXXIX	DCCCLXXIX	879	879	Approx. 13c	1104				Peter	Drafted		
Add. 17,103	1#32-33	LII		LII		Add. 17,127	2#1020-1021	DCCCLXXV	DCCCLXXV	#N/A	875	875	1088	756							
Add. 14,437, foll. 47-124	1#33-34	LIII	CLXXI	LIII		Add. 14,628, foll. 1-8	2#1021-1022	DCCCLXXVI	DCCCLXXVI	#N/A	876	876	Approx. 11c	369							
Add. 14,437, foll. 123-124	1#34	LIII	DCI	LIII		Add. 14,665, foll. 26, 27	2#1022	DCCCLXXVII	DCCCLXXVII	#N/A	877	877	Approx. 8c, 12c-13c	443							
Add. 14,434, foll. 1-79	1#35-36	LIV	CLXVII	LIV		Add. 14,736, foll. 22-32	2#1022	DCCCLXXVIII	DCCCLXXVIII	DCCCLXXVIII	878	878	Approx. 13c	659				Will Potter	Drafted		
Add. 14,668, foll. 4-11	1#37	LIX	CCCCXIV	LIX		Add. 14,722, foll. 1-61	2#1023-1024	DCCCLXXX	DCCCLXXX	#N/A	880	880	Approx. 13c	605							
Add. 14,434, foll. 80-128	1#36-37	LV		LV		Add. 17,217, fol. 52	2#1024	DCCCLXXXI	DCCCLXXXI	DCCCLXXXI	881	881	Approx. 6c	946				Daniel	Drafted		
Add. 17,257, foll. 84-94	1#37	LVI	DCCCCX	LVI		Add. 17,218, fol. 84	2#1024	DCCCLXXXII	DCCCLXXXII	#N/A	882	882	Approx. 6c	973				Tucker	Framework established for a later stage		
Add. 17,213, foll. 1,2	1#37	LVII	CXLVII	LVII		Add. 17,160, fol. 28	2#1024	DCCCLXXXIII	DCCCLXXXIII	DCCCLXXXIII	883	883	Approx. 6c-7c	802				Justin	Drafted		
Add. 14,668, foll. 26-29	1#37	LVIII	CCCCXVII	LVIII		Add. 17,217, fol. 50	2#1024	DCCCLXXXIV	DCCCLXXXIV	DCCCLXXXIV	884	884	Approx. 6c-7c	944				Daniel	Drafted		
Add. 14,429	1#37-39	LX	CLXII	LX		Add. 17,160, fol. 27	2#1025	DCCCLXXXIX	DCCCLXXXIX	DCCCLXXXIX	889	889	Approx. 7c	801				Justin	Drafted		
Add. 14,441	1#39	LXI	CLXXVII	LXI		Add. 17,217, fol. 51	2#1024	DCCCLXXXV	DCCCLXXXV	DCCCLXXXV	885	885	Approx. 6c-7c	945				Daniel	Drafted		
Add. 14,664, foll. 22-29	1#39	LXII	CCCXCIX	LXII		Add. 17,217, fol. 40	2#1024	DCCCLXXXVI	DCCCLXXXVI	DCCCLXXXVI	886	886	Approx. 6c-7c	935				Daniel	Drafted		
Add. 14,470	1#40-41	LXIII	CCXXI	LXIII		Add. 17,217, fol. 48	2#1024-1025	DCCCLXXXVII	DCCCLXXXVII	DCCCLXXXVII	887	887	Approx. 6c-7c	942				Daniel	Drafted		
Add. 14,448	1#41-42	LXIV	CXCIII	LXIV		Add. 17,217, fol. 49	2#1025	DCCCLXXXVIII	DCCCLXXXVIII	DCCCLXXXVIII	888	888	Approx. 7c	943				Daniel	Drafted		
Add. 14,449	1#46-47	LXIX	CXCIV	LXIX		Add. 17,215, foll. 9-21	2#810	DCCCV	DCCCV	DCCCV	805	805	Approx. 9c-10c	899				Peter	Drafted		
Add. 17,124	1#42-44	LXV	LXVIII	LXV		Add. 14,613	2#810-815	DCCCVI	#N/A	#N/A	806	806	Approx. 9c-10c	351							
Add. 14,453	1#44-45	LXVI	CXCVI	LXVI		Add. 14,631, foll. 45-53	2#815	DCCCVII	#N/A	#N/A	807	807	Approx. 9c-10c	381				DEMO			
Add. 14,455	1#45	LXVII	CXCVIII	LXVII		Add. 14,579	2#815-818	DCCCVIII	#N/A	#N/A	808	808	913	315							
Add. 17,114	1#45-46	LXVIII	DXXII	LXVIII		Add. 14,630, foll. 1-27	2#818-819	DCCCX	#N/A	DCCCX	810	810	Approx. 10c	375				Peter	Drafted		
Add. 14,457, foll. 1-198	1#47	LXX	DCXVII	LXX		Add. 17,217, fol. 42	2#1025	DCCCXC	DCCCXC	DCCCXC	890	890	Approx. 7c-8c	937				Daniel	Drafted		
Add. 14,457, foll. 199-200	1#47	LXX	DCXVIII	LXX		Add. 17,213, foll. 6, 7	2#1025	DCCCXCI	DCCCXCI	#N/A	891	891	Approx. 8c-9c	878				Febbie	Framework established for a later stage		
Add. 14,458	1#47-48	LXXI	CC	LXXI		Add. 17,215, foll. 26, 27	2#1025	DCCCXCII	DCCCXCII	DCCCXCII	892	892	Approx. 8c-9c	901				Peter	Drafted		
Add. 17,113	1#48-49	LXXII	DXXI	LXXII		Add. 17,217, fol. 44	2#1025	DCCCXCIII	DCCCXCIII	DCCCXCIII	893	893	Approx. 9c	939				Daniel	Drafted		
Add. 12,140	1#49	LXXIII	XI	LXXIII		Add. 17,217, foll. 55, 56	2#1025	DCCCXCIV	DCCCXCIV	#N/A	894	894	Approx. 9c	949				Daniel	Framework established for a later stage		
Add. 14,450	1#55	LXXIX	CXCV	LXXIX		Add. 14,738, fol. 119	2#1026	DCCCXCIX	DCCCXCIX	#N/A	899	899	Approx. 11c-12c	718				Daniel	Framework established for a later stage		
(Add. 12,137)	1#50-52	LXXV	VIII	LXXV		Add. 17,217, fol. 53	2#1025-1026	DCCCXCV	DCCCXCV	DCCCXCV	895	895	Approx. 9c	947				Daniel	Drafted		
Add. 14,460	1#52-53	LXXVI	CCIV	LXXVI		Add. 17,215, foll. 44, 45	2#1026	DCCCXCVI	DCCCXCVI	DCCCXCVI	896	896	Approx. 9c	906				Peter	Drafted		
Add. 14,471	1#53-54	LXXVII	CCXXII	LXXVII		Add. 17,218, fol. 58	2#1026	DCCCXCVII	DCCCXCVII	#N/A	897	897	Approx. 9c-10c	970				Tucker	Framework established for a later stage		
Add. 14,463	1#54-55	LXXVIII	CCIX	LXXVIII		Add. 17,218, fol. 89	2#1026	DCCCXCVIII	DCCCXCVIII	#N/A	898	898	Approx. 10c	976				Tucker	Framework established for a later stage		
Add. 14,456	1#55-57	LXXX	CXCIX	LXXX		Add. 14,656	2#819	DCCCXI	#N/A	#N/A	811	811	Approx. 10c	424							
Add. 17,118	1#57-58	LXXXI	DXXVI	LXXXI		Add. 17,183	2#819-823	DCCCXII	#N/A	#N/A	812	812	Approx. 10c	837							
Add. 14,669, foll. 38-56	1#58	LXXXII	CCCCXXVII	LXXXII		Add. 14,611	2#824-827	DCCCXIII	#N/A	#N/A	813	813	Approx. 10c	349							
Add. 12,177	1#58-60	LXXXIII	LVI	LXXXIII		Add. 14,725, foll. 1-95	2#827-828	DCCCXIV	DCCCXIV	#N/A	814	814	Approx. 10c	615							
Add. 17,922	1#60	LXXXIV	DLX	LXXXIV		Add. 12,163, foll. 127-304	2#834-836	DCCCXIX	DCCCXIX	DCCCXIX	819	819	Approx. 10c-11c	42				Justin	Drafted		
(Add. 12,141)	1#63-64	LXXXIX	XII	LXXXIX		Add. 12,163, foll. 127-224	2#834-836	DCCCXIX	DCCCXIX	DCCCXIX	819	819	Approx. 10c-11c	1224				Justin	Drafted		
Add. 14,465	1#60-61	LXXXV	CCXI	LXXXV		Add. 12,163, foll. 224-304	2#834-836	DCCCXIX	DCCCXIX	DCCCXIX	819	819	Approx. 10c-11c	1225				Justin	Drafted		
Add. 17,983	1#61-62	LXXXVI	DLXI	LXXXVI		Add. 14,728, foll. 76-137	2#876	DCCCXL	DCCCXL	#N/A	840	840	Approx. 12c-13c	625							
Add. 14,454	1#62	LXXXVII	CXCVII	LXXXVII		Add. 21,210	2#876-882	DCCCXLI	DCCCXLI	#N/A	841	841	1242	1136							
Add. 25,877	3#1179	M	DLXXX	M		Add. 14,728, foll. 1-75	2#882-883	DCCCXLII	DCCCXLII	#N/A	842	842	Approx. 13c	624							
Add. 21,211	3#1180-1182	MI	DLXXIII	MI		Add. 14,728, foll. 138-207	2#883-884	DCCCXLIII	DCCCXLIII	#N/A	843	843	Approx. 13c	626							
Add. 18,295	3#1183-1184	MII	DLXII	found		Add. 17,267, foll. 9-12	2#884	DCCCXLIV	DCCCXLIV	DCCCXLIV	844	844	Approx. 13c	1087				Justin	Drafted		
Add. 17,209	3#1184-1186	MIII	CXLIV	found		Add. 14,738, foll. 85-89	2#890	DCCCXLIX	DCCCXLIX	#N/A	849	849	Approx. 13c-14c	709				Daniel	Framework established for a later stage		
Add. 17,217, fol. 60	3#1194	MIX	DCCCLXV	MIX		Add. 17,267, foll. 13-22	2#884-885	DCCCXLV	DCCCXLV	DCCCXLV	845	845	Approx. 13c	1088				Justin	Drafted		
Egerton 709	3#1190-1191	MVII	DLXXXIV	MVII		Add. 17,267, foll. 23-33	2#885	DCCCXLVI	DCCCXLVI	DCCCXLVI	846	846	Approx. 13c	1089				Justin	Drafted		
Add. 17,216, fol. 50	3#1194	MXI	DLII	MXI		Add. 17,267, foll. 34-49	2#885-886	DCCCXLVII	DCCCXLVII	DCCCXLVII	847	847	Approx. 13c	1090				Justin	Drafted		
Add. 17,217, fol. 63	3#1195	MXII	DCCCLXVIII	MXII		Add. 14,727	2#886-890	DCCCXLVIII	DCCCXLVIII	#N/A	848	848	Approx. 13c	622							
Add. 17,217, fol. 59	3#1195	MXIII	DCCCLXIV	MXIII		Add. 14,726, foll. 1-86	2#828-831	DCCCXV	DCCCXV	#N/A	815	815	Approx. 10c	620							
Add. 17,216, fol. 48	3#1195	MXIV	DL	MXIV		Add. 14,522, foll. 37-45	2#831	DCCCXVI	DCCCXVI	DCCCXVI	816	816	Approx. 10c	220				Peter	Drafted		
Add. 17,216, fol. 47	3#1195-1196	MXV	DXLIX	MXV		Add. 14,614, foll. 1-79	2#832-833	DCCCXVII	DCCCXVII	DCCCXVII	817	817	Approx. 10c	353				Peter	Drafted		
Add. 17,216, foll. 52, 53	3#1196	MXVII	DLIV	MXVII		Add. 14,637	2#833-834	DCCCXVIII	DCCCXVIII	#N/A	818	818	Approx. 7c-8c	399							
Add. 17,215, fol. 48	3#1196-1197	MXVIII	DXXXIV	MXVIII		Add. 14,466, foll. 43-59	2#836-837	DCCCXX	DCCCXX	DCCCXX	820	820	Approx. 10c-11c	147				Aaron	Drafted and edited	Justin 4/23/2015	
Add. 17,216, fol. 49	3#1197	MXX	DLI	MXX		Add. 14,665, foll. 10-20	2#837	DCCCXXI	DCCCXXI	#N/A	821	821	Approx. 6c-7c	440							
Add. 17,216, fol. 51	3#1197	MXXI	DLIII	MXXI		Add. 17,185	2#838-840	DCCCXXII	DCCCXXII	DCCCXXII	822	822	Approx. 10c-11c	839				Jessie	Drafted and edited	Anna 5/2/20	
Add. 17,217, fol. 61	3#1197	MXXIII	DCCCLXVI	MXXIII		Add. 17,215, foll. 36-43	2#840	DCCCXXIII	DCCCXXIII	DCCCXXIII	823	823	Approx. 10c-11c	905				Peter	Drafted		
Add. 17,215, fol. 49	3#1198	MXXV	DXXXV	MXXV		Add. 17,215, foll. 35 (fly-leaf)	2#840	DCCCXXIII	DCCCXXIII	DCCCXXIII	823	823		1410				Peter	Drafted		
Add. 17,217, foll. 62	3#12	MXXXIV	DCCCLXVII	MXXXIV		Add. 14,615	2#840-842	DCCCXXIV	DCCCXXIV	#N/A	824	824	Approx. 10c-11c	355							
Add. 17,215, fol. 50	3#1200	MXXXVI	DXXXVI	MXXXVI		Add. 17,179	2#857-858	DCCCXXIX	DCCCXXIX	DCCCXXIX	829	829	Approx. 11c-12c	831				Jessie	Drafted and edited	Anna 5/2/20	
Add. 14,426	1#6	V	LXI	V		Add. 12,165	2#842-851	DCCCXXV	DCCCXXV	DCCCXXV	825	825	1015	45				Jessie	Drafted		
Add. 14,444, foll. 1-24	1#6	VI		VI		Add. 17,180	2#851-853	DCCCXXVI	#N/A	DCCCXXVI	826	826	Approx. 11c	832				Jessie	Drafted and edited	Lindsay 5/30/20	
Add. 12,172, foll. 165-196	1#6-7	VII	XLVIII	VII		Add. 14,731	2#853-855	DCCCXXVII	dcccxxvii	#N/A	827	827	Approx. 11c	638							
Add. 12,172, foll. 136-164	1#6-7	VII	DCVIII	VII		Add. 17,178	2#855-857	DCCCXXVIII	#N/A	DCCCXXVIII	828	828	Approx. 11c-12c	830				Jessie	Drafted and edited	Lindsay 5/19/2020	
Add. 14,738, fol. 1	1#7	VIII	DIX	VIII		Add. 14,589	2#858-859	DCCCXXX	DCCCXXX	#N/A	830	830	Approx. 11c-12c	325							
Add. 14,444, foll. 25-38	1#8	X	CLXXXIX	X		(Add. 17,206)	2#859-860	DCCCXXXI	DCCCXXXI	DCCCXXXI	831	831	Approx. 11c-12c	868				Jessie	Drafted	Will P., 03/03/2020	palimpsest
Add. 14,459, foll. 1-66	1#64	XC	CCII	XC		Add. 17,206, upper text	2#859-860	DCCCXXXI	DCCCXXXI	DCCCXXXI	831	831	Approx. 11c-12c	1434				Will Potter	Drafted	msParts, edit with full ms	cf. 868
Add. 14,459, fol. 12	1#64	XC	DXCVII	XC		Add. 17,206, foll. 1-42, lower text	2#859-860	DCCCXXXI	DCCCXXXI	DCCCXXXI	831	831	Approx. 9c	1435				Will Potter	Drafted	msParts, edit with full ms	cf. 868
Add. 17,117	1#64	XCI	DXXV	XCI		Add. 17,206, foll. 43-87, lower text	2#859-860	DCCCXXXI	DCCCXXXI	DCCCXXXI	831	831	Approx. 7c	1436				Will Potter	Drafted	msParts, edit with full ms	cf. 868
Add. 14,462	1#64-65	XCII	CCVIII	XCII		Add. 14,729, foll. 1-115	2#860-865	DCCCXXXII	DCCCXXXII	#N/A	832	832	1172-3	630							
Add. 17,116	1#65	XCIII	DXXIV	XCIII		Add. 17,266, foll. 1-50	2#865	DCCCXXXIII	DCCCXXXIII	#N/A	833	833	Approx. 12c (early)	1083							
Add. 14,461, foll. 1-107	1#65-66	XCIV	CCVI	XCIV		Add. 14,730, foll. 1-111	2#865-866	DCCCXXXIV	DCCCXXXIV	#N/A	834	834	Approx. 12c	636							
Add. 14,669, foll. 34-36	1#67	XCIX	CCCCXXV	XCIX		Add. 14,729, foll. 124-192	2#874-876	DCCCXXXIX	DCCCXXXIX	#N/A	839	839	Approx. 12c-13c	632							
Add. 17,224, foll. 58-65	1#66	XCV	DCCCLXXIX	XCV		Add. 14,739, foll. 1-6	2#866-867	DCCCXXXV	DCCCXXXV	#N/A	835	835	Approx. 12c	721							
Add. 17,115	1#66	XCVI	DXXIII	XCVI		Add. 14,732, foll. 229-237	2#867	DCCCXXXVI	DCCCXXXVI	#N/A	836	836	Approx. 12c	642							
Add. 14,467	1#66-67	XCVII	CCXVII	XCVII		Add. 17,262	2#867-873	DCCCXXXVII	DCCCXXXVII	#N/A	837	837	Approx. 12c	1078							
Add. 17,224, foll. 43-57	1#67	XCVIII	DCCCLXXVIII	XCVIII		Add. 14,729, foll. 116-123	2#873-874	DCCCXXXVIII	DCCCXXXVIII	#N/A	838	838	Approx. 12c-13c	631							
Add. 14,428	1#9-10	XI		XI		Add. 12,171, foll. 1-64	2#587-588	DCCI	#N/A	#N/A	701	701	815	59							
Add. 14,438, foll. 1-49	1#10	XII	CLXXIII	XII		Add. 14,670, foll. 2-7	2#588-589	DCCII	#N/A	DCCII	702	702	Approx. 9c	512				Justin	Drafted		
